user_id,first_name,last_name,age,city,reg_date,plan,churn_date,is_churned,cant_mensajes,cant_llamadas,cant_minutos_llamada
10000,Carlos,Garcia,38,medellín,2022-01-01 00:00:00.000000000,Basico,,0,7.0,3.0,23.700000000000003
10001,Mateo,Torres,53,Unknown,2022-01-01 06:34:17.914478619,Basico,,0,5.0,10.0,33.18
10002,Sofia,Ramirez,57,cdmx,2022-01-01 13:08:35.828957239,Basico,,0,5.0,2.0,10.74
10003,Mateo,Ramirez,69,bogotá,2022-01-01 19:42:53.743435858,Premium,,0,11.0,3.0,8.99
10004,Mateo,Torres,63,guadalajara,2022-01-02 02:17:11.657914478,Basico,,0,4.0,3.0,8.01
10005,Luis,Garcia,61,monterrey,2022-01-02 08:51:29.572393098,Basico,,0,5.0,7.0,44.97
10006,Sofia,Lopez,39,bogotá,2022-01-02 15:25:47.486871717,Basico,,0,3.0,5.0,28.39
10007,Sofia,Gomez,70,medellín,2022-01-02 22:00:05.401350337,Premium,,0,3.0,5.0,30.23
10008,Sofia,Garcia,76,cdmx,2022-01-03 04:34:23.315828957,Basico,,0,5.0,5.0,28.85
10009,Mateo,Torres,47,bogotá,2022-01-03 11:08:41.230307576,Basico,,0,5.0,3.0,5.99
10010,Carlos,Gomez,67,bogotá,2022-01-03 17:42:59.144786196,Basico,,0,7.0,7.0,24.12
10011,Sofia,Ramirez,60,bogotá,2022-01-04 00:17:17.059264816,Premium,,0,10.0,3.0,6.51
10012,Mariana,Lopez,48,medellín,2022-01-04 06:51:34.973743435,Premium,,0,6.0,1.0,3.33
10013,Mateo,Ramirez,78,monterrey,2022-01-04 13:25:52.888222055,Premium,,0,9.0,5.0,23.93
10014,Luis,Torres,77,Unknown,2022-01-04 20:00:10.802700675,Basico,,0,8.0,6.0,14.37
10015,Carlos,Gomez,47,bogotá,2022-01-05 02:34:28.717179294,Basico,,0,4.0,5.0,27.27
10016,Mariana,Torres,25,bogotá,2022-01-05 09:08:46.631657914,Basico,,0,3.0,2.0,18.310000000000002
